Filename,Source,Name,Author,Date,BrawlVaultLink,DirectLink,Imported,Notes
STGCUSTOM25,Super Smash Bros. Brawl,Online Practice Stage,,,,,,
STGCUSTOM02,Super Smash Bros. for Wii U,Mario Galaxy Ω,DSX8,05/11/15,http://forums.kc-mm.com/Gallery/BrawlView.php?Number=208029,https://onedrive.live.com/download.aspx?cid=2E29852C568B1E25&resid=2e29852c568b1e25%211403&canary=P4oGdVKovi3%2Bv9rScs3w33AAsSBT4b5XquRYXTgdEBE%3D4,TRUE,
STGCUSTOM03,Super Smash Bros. for Wii U,Jungle Hijinx Ω,"CaliburZx, DSX8",05/10/16,http://forums.kc-mm.com/Gallery/BrawlView.php?Number=211690,https://www.dropbox.com/s/jc7vwywvfcyodg7/%28Smash%204%29%20Jungle%20Hyjinx%20Omega.7z?dl=0https://www.dropbox.com/s/jc7vwywvfcyodg7/%28Smash%204%29%20Jungle%20Hyjinx%20Omega.7z?dl=0,TRUE,
STGCUSTOM04,Super Smash Bros. for 3DS,Gerudo Valley Ω,DSX8,12/10/15,http://forums.kc-mm.com/Gallery/BrawlView.php?Number=210278,https://www.dropbox.com/s/zukd97l4u3vreko/Gerudo%20Valley%20%28Smash3ds%29.rar?dl=0,TRUE,
STGCUSTOM05,Super Smash Bros. for Wii U,Pyrosphere Ω,Edwguard Flows,11/02/15,http://forums.kc-mm.com/Gallery/BrawlView.php?Number=209310,https://www.dropbox.com/s/dfahcvsdommf2ax/Ultimate%20Pyrosphere%20Omega.rar?dl=0,TRUE,
STGCUSTOM06,Super Smash Bros. for Wii U,Kalos Pokémon League Ω,"Edwguard Flows, DSX8",12/15/15,http://forums.kc-mm.com/Gallery/BrawlView.php?Number=209913,https://www.dropbox.com/s/kqw8b48awojgs19/Kalos%20Pok%C3%A9mon%20League%20Omega%20-%20Edwguard%20Flows.rar?dl=0,TRUE,
STGCUSTOM07,Super Smash Bros. for 3DS,Suzaku Castle Ω,"DSX8, jaystring",04/16/16,http://forums.kc-mm.com/Gallery/BrawlView.php?Number=210383,https://mega.nz/#!51ESDJzb!3AQ-sB-EQ94MV446WKG06Ug8ZL7DbXq7miV_zL79YSU,TRUE,
STGCUSTOM08,Super Smash Bros. for Wii U,Peach’s Castle Ω,"DSX8, Edwguard Flows",01/12/16,http://forums.kc-mm.com/Gallery/BrawlView.php?Number=210393,https://www.dropbox.com/s/r8jo5ttmrmb33eu/Peach%27s%20Castle%2064%20%28SmashU%29.rar?dl=0,TRUE,
STGCUSTOM09,Super Smash Bros. for Wii U,Kongo Jungle Ω,Edwguard Flows,08/28/16,http://forums.kc-mm.com/Gallery/BrawlView.php?Number=212784,https://www.dropbox.com/s/irtzr39bow484yn/Edwguard%20Flows%20-%20Kongo%20Jungle%20%2864%29%20Omega.rar?dl=0,TRUE,
STGCUSTOM0A,Super Smash Bros. for Wii U,Hyrule Castle Ω,Edwguard Flows,08/30/16,http://forums.kc-mm.com/Gallery/BrawlView.php?Number=212791,https://www.dropbox.com/s/alhbkqcpreg5en9/Edwguard%20Flows%20-%20Hyrule%20Castle%20%2864%29%20Omega.rar?dl=0,TRUE,
STGCUSTOM0C,Super Smash Bros.,Mushroom Kingdom,Mewtwo2000,09/25/14,http://forums.kc-mm.com/Gallery/BrawlView.php?Number=3698,http://www.mediafire.com/?9rx4f7m0p0k0q,,This version has stable platforms and no trap (STGMUSHROOM64)
STGCUSTOM0D,,Yoshi’s Island 64 Ω,WorseDoughnut,8/8/17,http://forums.kc-mm.com/Gallery/BrawlView.php?Number=212641,https://www.dropbox.com/s/k727qi61jx1e828/STGYOSHI64_Z.pac?dl=0,,
STGCUSTOM0E,Super Smash Bros. for Wii U,Dream Land Ω,Edwguard Flows,08/24/16,http://forums.kc-mm.com/Gallery/BrawlView.php?Number=212736,https://www.dropbox.com/s/gxggv4y3ruc6dol/Edwguard%20Flows%20-%20Dream%20Land%20%2864%29%20Omega.rar?dl=0,TRUE,
STGCUSTOM17,,Fountain of Dreams Ω,ALM5252,03/22/16,http://forums.kc-mm.com/Gallery/BrawlView.php?Number=209424,https://www.mediafire.com/folder/38vtusrdbuwn8/Omega_Build,,
STGCUSTOM1C,,Fourside Ω,ALM5252,03/22/16,http://forums.kc-mm.com/Gallery/BrawlView.php?Number=209424,https://www.mediafire.com/folder/38vtusrdbuwn8/Omega_Build,,
STGCUSTOM1E,Super Smash Bros. for Wii U,Boxing Ring Ω,"CaliburZx, DSX8",7/2/16,http://forums.kc-mm.com/Gallery/BrawlView.php?Number=212223,https://www.dropbox.com/s/mppup86vemd2r7p/%28Smash%204%29%20Boxing%20Ring%20Omega.7z?dl=0,TRUE,
STGCUSTOM1F,Super Smash Bros. for 3DS,Magicant Ω,DSX8,11/18/15,http://forums.kc-mm.com/Gallery/BrawlView.php?Number=210060,https://www.dropbox.com/s/nec5u36chiasikt/Magicant%20%28Smash3ds%29.rar?dl=0,TRUE,vBrawl version
STGCUSTOM20,Super Smash Bros. for Wii U,Wii Fit Studio Ω,CaliburZx,04/01/16,http://forums.kc-mm.com/Gallery/BrawlView.php?Number=211347,https://www.dropbox.com/s/w685maq2d91xs7l/%28Smash%204%29%20Wii%20Fit%20Studio%20Omega.7z?dl=0,TRUE,
STGCUSTOM21,Super Smash Bros. for Wii U,Gaur Plain Ω,"DSX8, Edwguard Flows",03/03/16,http://forums.kc-mm.com/Gallery/BrawlView.php?Number=210669,https://www.dropbox.com/s/fyaj156yoatblz2/Gaur%20Plains%20Omega%20%28SmashU%29.rar?dl=0,TRUE,
STGCUSTOM22,Super Smash Bros. for Wii U,Windy Hill Zone Ω,"CaliburZx, DSX8, libertyernie",03/15/16,http://forums.kc-mm.com/Gallery/BrawlView.php?Number=211180,https://www.dropbox.com/s/qzqohbgqmo3oci0/(Smash%204)%20Windy%20Hill%20Zone%20Omega.zip?dl=0,TRUE,
STGCUSTOM23,Super Smash Bros. for Wii U,Midgar Ω,"DSX8, jaystring, Edwguard Flows",04/16/16,http://forums.kc-mm.com/Gallery/BrawlView.php?Number=210367,https://mega.nz/#!NgdjiJCT!jXy22V_LSS9CHfUShPxTKz_iWoEWLqWfRHfCa1twXvU,TRUE,
STGCUSTOM24,Super Smash Bros. for Wii U,Miiverse Ω,DSX8,07/27/15,http://forums.kc-mm.com/Gallery/BrawlView.php?Number=209180,https://www.dropbox.com/s/nvg995qvnunpb0w/Miiverse%20%28SmashU%29.rar?dl=0,TRUE,Collisions fixed
STGBATTLEFIELD,Super Smash Bros. for Wii U,Battlefield Ω,"Edwguard Flows, DSX8",10/12/17,http://forums.kc-mm.com/Gallery/BrawlView.php?Number=214885,https://www.dropbox.com/s/q2nrrodpp44ix4x/Edwguard%20Flows%20-%20Battlefield%20%28Smash%20U%29%20-%20Update.rar?dl=0,TRUE,
STGDOLPIC,Super Smash Bros. for Wii U,Delfino Plaza Ω,Edwguard Flows,06/05/16,http://forums.kc-mm.com/Gallery/BrawlView.php?Number=211964,https://www.dropbox.com/s/y2whhfhoos6n2x6/Edwguard%20Flows%20-%20Delfino%20Plaza%20%28Smash%20U%29.rar?dl=0,TRUE,
STGMARIOPAST_00,,Mushroomy Kingdom Ω,"ɴᴇᴢʜᴀ, KTH",7/20/16,http://forums.kc-mm.com/Gallery/BrawlView.php?Number=212360,https://mega.nz/#!v18zzZhJ!MnWEQNZq3-aPavQA1vgljBUyRTMSfAc32G1Wa8RBs5w,,
STGMARIOPAST_01,,Mushroomy Kingdom Ω,"ɴᴇᴢʜᴀ, KTH",7/20/16,http://forums.kc-mm.com/Gallery/BrawlView.php?Number=212360,https://mega.nz/#!v18zzZhJ!MnWEQNZq3-aPavQA1vgljBUyRTMSfAc32G1Wa8RBs5w,,
STGMANSION,Super Smash Bros. for Wii U,Luigi’s Mansion Ω,Edwguard Flows,11/25/15,http://forums.kc-mm.com/Gallery/BrawlView.php?Number=209981,https://www.dropbox.com/s/v1w6ffun73zx1zo/Luigi%27s%20Mansion%20Omega.rar?dl=0,TRUE,
STGKART,Super Smash Bros. for Wii U,Mario Circuit Ω,CaliburZx,05/06/16,http://forums.kc-mm.com/Gallery/BrawlView.php?Number=211691,https://www.dropbox.com/s/x2ezs22qqmjsb1b/%28Smash%204%29%20Mario%20Circuit%20%28Brawl%29%20Omega.7z?dl=0,,
STGJUNGLE,,Rumble Falls Ω,ALM5252,03/22/16,http://forums.kc-mm.com/Gallery/BrawlView.php?Number=209424,https://www.mediafire.com/folder/38vtusrdbuwn8/Omega_Build,,
STGOLDIN,Super Smash Bros. for Wii U,Bridge of Eldin Ω,Edwguard Flows,02/25/16,http://forums.kc-mm.com/Gallery/BrawlView.php?Number=211026,https://www.dropbox.com/s/n05f6impt519203/Bridge%20of%20Eldin%20%28Smash%20U%29.rar?dl=0,TRUE,
STGPIRATES,Super Smash Bros. for Wii U,Pirate Ship Ω,"DSX8, jlclpepe",07/21/16,http://forums.kc-mm.com/Gallery/BrawlView.php?Number=212408,https://mega.nz/#F!m5BywLZA!e8-yRMcbSwtlspp6hwrqTQ,TRUE,
STGNORFAIR,Super Smash Bros. for Wii U,Norfair Ω,Edwguard Flows,12/05/16,http://forums.kc-mm.com/Gallery/BrawlView.php?Number=213529,https://www.dropbox.com/s/b2sjauupecb90im/Edwguard%20Flows%20-%20Norfair%20%28Smash%20U%29.rar?dl=0,TRUE,
STGCRAYON,,Yoshi’s Island Ω,ALM5252,03/22/16,http://forums.kc-mm.com/Gallery/BrawlView.php?Number=209424,https://www.mediafire.com/folder/38vtusrdbuwn8/Omega_Build,,
STGHALBERD,Super Smash Bros. for Wii U,The Great Cave Offensive Ω,Edwguard Flows,11/3/16,http://forums.kc-mm.com/Gallery/BrawlView.php?Number=213285,https://www.dropbox.com/s/o1euxmwxkgnbp4t/Edwguard%20Flows%20-%20The%20Great%20Cave%20Offensive%20Omega.rar?dl=0,TRUE,
STGSTARFOX_GDIFF,,Lylat Cruise Ω,ALM5252,03/22/16,http://forums.kc-mm.com/Gallery/BrawlView.php?Number=209424,https://www.mediafire.com/folder/38vtusrdbuwn8/Omega_Build,,
STGSTADIUM,,Pokémon Stadium 2 Ω,ALM5252,03/22/16,http://forums.kc-mm.com/Gallery/BrawlView.php?Number=209424,https://www.mediafire.com/folder/38vtusrdbuwn8/Omega_Build,,
STGTENGAN_1,,Spear Pillar Ω,"E-scope12, SmashBroski",6/16/16,http://forums.kc-mm.com/Gallery/BrawlView.php?Number=212048,https://www.dropbox.com/s/5y0sby7a8m4nj4n/Spear%20Pillar%20Omega.zip?dl=0,,
STGTENGAN_1,,Spear Pillar Ω,"E-scope12, SmashBroski",6/16/16,http://forums.kc-mm.com/Gallery/BrawlView.php?Number=212048,https://www.dropbox.com/s/5y0sby7a8m4nj4n/Spear%20Pillar%20Omega.zip?dl=0,,
STGTENGAN_1,,Spear Pillar Ω,"E-scope12, SmashBroski",6/16/16,http://forums.kc-mm.com/Gallery/BrawlView.php?Number=212048,https://www.dropbox.com/s/5y0sby7a8m4nj4n/Spear%20Pillar%20Omega.zip?dl=0,,
STGFZERO,,Port Town Aero Dive Ω,"ALM5252, Xerom",03/22/16,http://forums.kc-mm.com/Gallery/BrawlView.php?Number=209424,https://www.mediafire.com/folder/38vtusrdbuwn8/Omega_Build,,
STGEMBLEM,Super Smash Bros. for Wii U,Castle Siege Ω,Edwguard Flows,02/07/16,http://forums.kc-mm.com/Gallery/BrawlView.php?Number=210826,https://www.dropbox.com/s/hhgpsxu1kpv5pir/Castle%20Siege%20Omega.rar?dl=0,TRUE,
STGMADEIN,Super Smash Bros. for 3DS,"WarioWare, Inc. Ω",libertyernie,05/30/16,http://forums.kc-mm.com/Gallery/BrawlView.php?Number=211891,http://www.mediafire.com/download/h2p6ipl77523ufm/WarioWare_Omega_%28STGFINAL%29.pac,,
STGVILLAGE_00,Super Smash Bros. for Wii U,Smashville Ω,Edwguard Flows,05/20/16,http://forums.kc-mm.com/Gallery/BrawlView.php?Number=211783,https://www.dropbox.com/s/2lgj6dgkgvdby1p/%28Smash%204%29%20Smashville%20Omega.7z?dl=0,TRUE,
STGDONKEY,Super Smash Bros. for Wii U,75 m Ω,CaliburZx,07/03/15,http://forums.kc-mm.com/Gallery/BrawlView.php?Number=208972,https://www.dropbox.com/s/ydav5vm6fnddy9y/75M%5Bomega%5D.zip?dl=0,TRUE,
STGMETALGEAR_00,,Shadow Moses Island Ω,"ALM5252, Olimario1892",03/22/16,http://forums.kc-mm.com/Gallery/BrawlView.php?Number=209424,https://www.mediafire.com/folder/38vtusrdbuwn8/Omega_Build,,
STGDXSHRINE,Super Smash Bros. for Wii U,Temple Ω,DSX8,03/12/15,http://forums.kc-mm.com/Gallery/BrawlView.php?Number=207690,https://onedrive.live.com/download.aspx?cid=2E29852C568B1E25&resid=2e29852c568b1e25%211358&canary=P4oGdVKovi3%2Bv9rScs3w33AAsSBT4b5XquRYXTgdEBE%3D4,TRUE,
STGDXYORSTER,Super Smash Bros. for Wii U,Yoshi’s Island Ω,"E-scope12, Edwguard Flows",05/19/16,http://forums.kc-mm.com/Gallery/BrawlView.php?Number=211778,https://www.dropbox.com/s/ymia9hw8bj96e0s/Yoshi%27s%20Island%20%28Melee%29%20%28Smash%20U%29.rar?dl=0,TRUE,
STGDXCORNERIA,,Corneria Ω,ALM5252,03/22/16,http://forums.kc-mm.com/Gallery/BrawlView.php?Number=209424,https://www.mediafire.com/folder/38vtusrdbuwn8/Omega_Build,,
STGDXZEBES,Super Smash Bros. for 3DS,Brinstar Ω,Edwguard Flows,11/01/15,http://forums.kc-mm.com/Gallery/BrawlView.php?Number=209203,https://www.dropbox.com/s/n8v3s6tq2tv9hpu/Omega%20Brinstar.rar?dl=0,,
STGDXONETT,Super Smash Bros. for Wii U,Onett Ω,CaliburZx,04/30/16,http://forums.kc-mm.com/Gallery/BrawlView.php?Number=211618,https://www.dropbox.com/s/lzba7vy1yssevga/%28Smash%204%29%20Onett%20Omega.7z?dl=0,TRUE,
STGDXPSTADIUM,,Pokémon Stadium Ω,"ALM5252, Sandfall",03/22/16,http://forums.kc-mm.com/Gallery/BrawlView.php?Number=209424,https://www.mediafire.com/folder/38vtusrdbuwn8/Omega_Build,,
